CustomerID,Gender,Age,Annual Income (k$),Spending Score (1-100),cluster,silhouette,pca_x,pca_y,segment
33,Male,53,33,4,5,0.4086457725482631,2.034457475270362,-0.9523604887013634,Budget minimalists
34,Male,18,33,92,4,0.523530244223956,-2.1524451583920343,-1.157120696838667,Emerging enthusiasts
35,Female,49,33,14,5,0.43962915798827806,1.5575209322936014,-0.9756778562497388,Budget minimalists
36,Female,21,33,81,4,0.5657628654552511,-1.6987875728492767,-1.134499976554252,Emerging enthusiasts
37,Female,42,34,17,5,0.46321864080132663,1.1185775301955028,-0.9570943969608976,Budget minimalists
38,Female,30,34,73,4,0.4252520305033672,-1.0250419947533114,-1.0651750882350155,Emerging enthusiasts
39,Female,36,37,26,5,0.1823435039220493,0.5621681638834832,-0.8688970474643968,Budget minimalists
40,Female,20,37,75,4,0.4322366734872373,-1.592319895106897,-0.9753648752602415,Emerging enthusiasts
41,Female,65,38,35,0,0.2986624352216077,1.7837401863539568,-0.7812397613318391,Mainstream shoppers
42,Male,24,38,92,4,0.5058345778412716,-1.8574420611254077,-0.9535177486019512,Emerging enthusiasts
43,Male,48,39,36,5,-0.06518324851308063,0.892681088063971,-0.7813546481069065,Budget minimalists
44,Female,31,39,61,1,0.008341111624715989,-0.6545233280363264,-0.8547899870718343,Mainstream shoppers
45,Female,49,39,28,5,0.14646852679888592,1.1627019325813122,-0.7674596432406029,Budget minimalists
46,Female,24,39,65,4,0.1500885895195333,-1.11904944762065,-0.8757978438779762,Emerging enthusiasts
47,Female,50,40,55,0,0.434348717830315,0.47133794625152614,-0.7667667526886892,Mainstream shoppers
48,Female,27,40,47,1,0.3541950313420566,-0.47531455320277555,-0.8047869024303491,Mainstream shoppers
49,Female,29,40,42,1,0.39480585305392923,-0.23684628171439534,-0.7931282186561615,Mainstream shoppers
50,Female,31,40,42,1,0.3802422954043698,-0.13545683638342512,-0.7888019557721645,Mainstream shoppers
51,Female,49,42,52,0,0.43082925832701374,0.4992244237899733,-0.6882807677626832,Mainstream shoppers
52,Male,33,42,60,1,0.1460542298281265,-0.5312172607096447,-0.7346227442589641,Mainstream shoppers
53,Female,31,43,54,1,0.3199956424263347,-0.4699451623969798,-0.6920252701577871,Mainstream shoppers
54,Male,59,43,60,0,0.5590986343098404,0.7850124808477116,-0.6402564948500586,Mainstream shoppers
55,Female,50,43,45,0,0.39361843912722433,0.7399964553305757,-0.6377274151574728,Mainstream shoppers
56,Male,47,43,41,0,0.22737913126346335,0.6975753482600483,-0.6383508727713155,Mainstream shoppers
57,Female,51,44,50,0,0.4900963952491256,0.6517793040933938,-0.60477187268872,Mainstream shoppers
58,Male,69,44,46,0,0.48282141066560663,1.6739473729980543,-0.5599695700205948,Mainstream shoppers
59,Female,27,46,51,1,0.44354919243676255,-0.5959759006002446,-0.5819038476408316,Mainstream shoppers
60,Male,53,46,46,0,0.512128428686937,0.8591657148597786,-0.5183300092586803,Mainstream shoppers
61,Male,70,46,56,0,0.5218325842931751,1.4468183478582055,-0.4962216165250878,Mainstream shoppers
62,Male,19,46,55,1,0.30112370484099804,-1.1111967428500535,-0.6050748358889719,Mainstream shoppers
63,Female,67,47,52,0,0.5582406651856483,1.402564193042421,-0.45872024222198565,Mainstream shoppers
64,Female,54,47,59,0,0.5781221640747679,0.5516224417707406,-0.4971063402142329,Mainstream shoppers
65,Male,63,48,51,0,0.5951196972236316,1.2253680198667058,-0.4277814518949964,Mainstream shoppers
66,Male,18,48,59,1,0.24983941774305557,-1.2752206219319806,-0.5368542402092331,Mainstream shoppers
67,Female,43,48,50,0,0.1653982892952159,0.2388893317884856,-0.4695775965569278,Mainstream shoppers
68,Female,68,48,48,0,0.5392830204447182,1.5610889288885774,-0.41256634215088955,Mainstream shoppers
69,Male,19,48,59,1,0.26617720767879677,-1.2245258992664954,-0.5346911087672347,Mainstream shoppers
70,Female,32,48,47,1,0.488416990533131,-0.2365053218374047,-0.48897258988479664,Mainstream shoppers
71,Male,70,49,55,0,0.5393419671730751,1.4687349698539167,-0.3803806365962147,Mainstream shoppers
72,Female,47,49,42,0,0.36916709362764544,0.6591612965570254,-0.41106836544768377,Mainstream shoppers
73,Female,60,50,49,0,0.6143858802892341,1.124449286842701,-0.35508821403102553,Mainstream shoppers
74,Female,60,50,56,0,0.6257149386173053,0.9325389302223268,-0.36535360327729255,Mainstream shoppers
75,Male,59,54,47,0,0.6261998932124715,1.1212539036591522,-0.20181904944916768,Mainstream shoppers
76,Male,26,54,54,1,0.5348937161652828,-0.7435823009222305,-0.2834677762813845,Mainstream shoppers
77,Female,45,54,53,0,0.30957559524088246,0.2470331949534687,-0.24090179470537526,Mainstream shoppers
78,Male,40,54,48,1,0.08626357635917238,0.13063840778345318,-0.24438503102517692,Mainstream shoppers
79,Female,23,54,52,1,0.5440765893969559,-0.8408349384557219,-0.28702420225130365,Mainstream shoppers
80,Female,49,54,42,0,0.4825032980284756,0.7513855031617114,-0.21611794297896172,Mainstream shoppers
81,Male,57,54,51,0,0.6435196595410976,0.9102013974022541,-0.21201124904531723,Mainstream shoppers
82,Male,38,54,55,1,0.24255642211309578,-0.16266139416789116,-0.2589766831554409,Mainstream shoppers
83,Male,67,54,41,0,0.5289373883831561,1.6913062763719255,-0.175715092844951,Mainstream shoppers
84,Female,46,54,44,0,0.37386523737371485,0.544469804702292,-0.22554030566103347,Mainstream shoppers
85,Female,21,54,57,1,0.45053496452445846,-1.0793032099441022,-0.2986828860254913,Mainstream shoppers
86,Male,48,54,46,0,0.4843773560553078,0.5910277195702982,-0.2241470111331128,Mainstream shoppers
87,Female,55,57,58,0,0.6268565653672551,0.6114024522151392,-0.11222840542474623,Mainstream shoppers
88,Female,22,57,55,1,0.5284100622708012,-0.9792761000514235,-0.17921229047658155,Mainstream shoppers
89,Female,34,58,60,1,0.34975230497427434,-0.509851301968269,-0.12246230214584554,Mainstream shoppers
90,Female,50,58,46,0,0.5513282193418111,0.6850849739202411,-0.06732142058133586,Mainstream shoppers
91,Female,68,59,55,0,0.5913170516578613,1.3490150470703781,-0.0034585803107615503,Mainstream shoppers
92,Male,18,59,41,1,0.545660927319394,-0.8019003729631297,-0.09108437391815141,Mainstream shoppers
93,Male,48,60,49,0,0.4713548225814645,0.49778213740431104,0.00020252783444277237,Mainstream shoppers
94,Female,40,60,40,1,0.10075087527246575,0.3389662431637682,-0.003904166099201735,Mainstream shoppers
95,Female,32,60,42,1,0.5399519489319715,-0.12142306862307675,-0.024142185991265854,Mainstream shoppers
96,Male,24,60,52,1,0.5948873354364081,-0.8011385022617777,-0.05611207930763514,Mainstream shoppers
97,Female,47,60,47,0,0.42116053068525644,0.50191894520179,0.0009723647485205867,Mainstream shoppers
98,Female,27,60,50,1,0.5975632755558129,-0.5942228038023585,-0.04668971662556342,Mainstream shoppers
99,Male,48,61,42,0,0.4418932568935317,0.6878594462794284,0.0485927489976548,Mainstream shoppers
100,Male,20,61,49,1,0.576681195921552,-0.9235031449745291,-0.022240320624569605,Mainstream shoppers
101,Female,23,62,41,1,0.613295637925897,-0.5539259028714745,0.034105779042676,Mainstream shoppers
102,Female,49,62,48,0,0.4997039128951638,0.5722265298107646,0.0800818072883694,Mainstream shoppers
103,Male,67,62,59,0,0.5942005066498184,1.1831581202431947,0.1028868472859224,Mainstream shoppers
104,Male,26,62,55,1,0.5282562291613966,-0.7856624481157671,0.020064394876137388,Mainstream shoppers
105,Male,49,62,56,0,0.47649717964728794,0.3529004079589085,0.06834993386406424,Mainstream shoppers
106,Female,21,62,42,1,0.6016972421552964,-0.6827311134339267,0.028313031980640894,Mainstream shoppers
107,Female,66,63,50,0,0.6055616225663043,1.3773722369157908,0.15204690536321225,Mainstream shoppers
108,Male,54,63,46,0,0.5889564579554356,0.8786986258558974,0.13195526477138309,Mainstream shoppers
109,Male,68,63,43,0,0.5485669280396662,1.670672038867135,0.16663855749347622,Mainstream shoppers
110,Male,66,63,48,0,0.5988399900126894,1.4322037673787549,0.15497987371928854,Mainstream shoppers
111,Male,65,63,52,0,0.6176974890981319,1.2718459837873415,0.14695080556513748,Mainstream shoppers
112,Female,19,63,54,1,0.5154465303953033,-1.1149427892879378,0.044513790877131185,Mainstream shoppers
113,Female,38,64,42,1,0.25372433919971793,0.17541307638880657,0.14133593032850505,Mainstream shoppers
114,Male,19,64,46,1,0.5670494967903272,-0.8974497151813385,0.09437049621838137,Mainstream shoppers
115,Female,18,65,48,1,0.5357170254582754,-1.0048090160550447,0.12739922833725162,Mainstream shoppers
116,Female,19,65,50,1,0.5349260539720876,-1.0089458238525235,0.1266293914231738,Mainstream shoppers
117,Female,63,65,43,0,0.5635235481678806,1.4135323300491958,0.23207256411737387,Mainstream shoppers
118,Female,49,65,59,0,0.4377751404887775,0.2651539690286919,0.17832497708078485,Mainstream shoppers
119,Female,51,67,43,0,0.4534058053170901,0.8015295625728606,0.2823646506472821,Mainstream shoppers
120,Female,50,67,57,0,0.46900467553883135,0.3670141266666273,0.2596707407127496,Mainstream shoppers
121,Male,27,67,56,1,0.4165529882229083,-0.7715487294080484,0.21138520172482275,Mainstream shoppers
122,Female,38,67,40,1,0.24331194478676468,0.2247454636160001,0.25864339443541634,Mainstream shoppers
123,Female,40,69,58,1,0.06769891870883246,-0.17101496071021954,0.3128226059486167,Mainstream shoppers
124,Male,39,69,91,3,0.48103310355525974,-1.126429936014611,0.2622654966313594,Premium champions
125,Female,23,70,29,1,0.3679345836983284,-0.23960110205574506,0.3567022445146938,Mainstream shoppers
126,Female,31,70,77,3,0.3797942851763957,-1.1500000518430007,0.3036160555048506,Premium champions
127,Male,43,71,35,2,0.024307773449112807,0.6079657121198084,0.4292908002033795,Affluent cautious
128,Male,40,71,95,3,0.4956376348412755,-1.1890643697655676,0.33481235519509533,Premium champions
129,Male,59,71,11,2,0.0661003297921912,2.0770596403231387,0.49909652354827067,Affluent cautious
130,Male,38,71,75,3,0.3843150433297525,-0.7421385104668976,0.3598157758718613,Premium champions
131,Male,47,71,9,2,0.3657093847134087,1.5235544988002812,0.47607191460036524,Affluent cautious
132,Male,39,71,75,3,0.3764514273352657,-0.6914437878014125,0.3619789073138598,Premium champions
133,Female,25,72,34,1,0.4040630827148408,-0.2789565783726986,0.4299457503423901,Mainstream shoppers
134,Female,31,72,71,3,0.28280065877640953,-0.9891715559446224,0.3886646244069695,Premium champions
135,Male,20,73,5,2,-0.009674210486328914,0.2607939522675973,0.4997829662124489,Affluent cautious
136,Female,29,73,88,3,0.518978093672199,-1.5584620579560435,0.3975329624132691,Premium champions
137,Female,44,73,7,2,0.4341567713719215,1.4226357657762763,0.5487651524643361,Affluent cautious
138,Male,32,73,73,3,0.3757363156790015,-0.995141411487358,0.4260196194098367,Premium champions
139,Male,19,74,10,1,0.03438751236068762,0.07118735569944527,0.5284122457972047,Mainstream shoppers
140,Female,35,74,72,3,0.38762199488394183,-0.8174745260046774,0.4721003298308154,Premium champions
141,Female,57,75,5,2,0.2304520970377747,2.132832595400033,0.6560684934002826,Affluent cautious
142,Male,32,75,93,3,0.574387816860251,-1.547122811607512,0.47293959968296384,Premium champions
143,Female,28,76,40,1,0.3768452433122662,-0.29869919274616263,0.5801355672679366,Mainstream shoppers
144,Female,32,76,87,3,0.5867306491116174,-1.3844612679638766,0.5198633366681377,Premium champions
145,Male,25,77,12,2,0.0728138102056169,0.31502501799362154,0.6528325618439543,Affluent cautious
146,Male,28,77,97,3,0.5405046759116673,-1.863230858685894,0.5346708010367074,Premium champions
147,Male,48,77,36,2,-0.013412177950418207,0.823025273744211,0.6673889647370038,Affluent cautious
148,Female,32,77,74,3,0.4685784762499313,-1.0298893676998673,0.5770524628995786,Premium champions
149,Female,34,78,22,2,0.2235882275335894,0.49528682192291046,0.6957607349585042,Affluent cautious
150,Male,34,78,90,3,0.6107519102136886,-1.3689852138178662,0.5960398108519103,Premium champions
151,Male,43,78,17,2,0.4726313294319948,1.088618152069687,0.7225613388266812,Affluent cautious
152,Male,39,78,88,3,0.569366490075245,-1.0606800700274766,0.6097884364179789,Premium champions
153,Female,44,78,20,2,0.4341704055760705,1.0570655790407257,0.7203250177345653,Affluent cautious
154,Female,38,78,76,3,0.4977508290530499,-0.7823856099151775,0.6252231151124382,Premium champions
155,Female,47,78,16,2,0.421002606924707,1.3188128079631092,0.7326803487727133,Affluent cautious
156,Female,27,78,89,3,0.5436186836095941,-1.69643250724478,0.582364374935959,Premium champions
157,Male,37,78,1,2,0.4367115829037445,1.2231020597804882,0.7330462970233007,Affluent cautious
158,Female,30,78,78,3,0.5224983643567854,-1.2427749217020225,0.6049850952203741,Premium champions
159,Male,34,78,1,2,0.3868978136532897,1.071017891784033,0.7265569026973053,Affluent cautious
160,Female,30,78,73,3,0.4355454422353207,-1.1056960955446125,0.6123175161105648,Premium champions
161,Female,56,79,35,0,0.14835576943605394,1.25233272480906,0.7624101642849198,Mainstream shoppers
162,Female,29,79,83,3,0.5661709099891921,-1.4323815182701747,0.6336143748051299,Premium champions
163,Male,19,81,5,2,0.05786196205975736,0.19543484764005747,0.8026184901060105,Affluent cautious
164,Female,31,81,93,3,0.6158282799264959,-1.6088158207445382,0.6995254597426354,Premium champions
165,Male,50,85,26,2,0.3173207326628102,1.1839079894279465,0.9913787247369422,Affluent cautious
166,Female,36,85,75,3,0.5515062687519873,-0.8691906242314636,0.8892371598250944,Premium champions
167,Male,42,86,20,2,0.5198957579481887,0.9410117517477008,1.0209974101861283,Affluent cautious
168,Female,33,86,95,3,0.6313051167849518,-1.5714231446028162,0.8915429138552811,Premium champions
169,Female,36,87,27,2,0.334476411381274,0.4431000113891591,1.0358780642048153,Affluent cautious
170,Male,32,87,63,3,0.31897321303681686,-0.7466464276061336,0.9744321080274483,Premium champions
171,Male,40,87,13,2,0.5351583505910967,1.0296996152918478,1.0650613684653432,Affluent cautious
172,Male,28,87,75,3,0.5148044427516002,-1.2784145010458583,0.9481817721229966,Premium champions
173,Male,36,87,10,2,0.47897955774853623,0.9091680203243534,1.0608082952314637,Affluent cautious
174,Male,36,87,92,3,0.6346333933580722,-1.3389247286571717,0.9405565926323358,Premium champions
175,Female,52,88,13,2,0.4287905815010464,1.6362032395324124,1.1291437776862698,Affluent cautious
176,Female,30,88,86,3,0.6313647200765105,-1.480431521006447,0.9745015409655189,Premium champions
177,Male,58,88,15,2,0.272575107262876,1.885540045062359,1.1391895979821847,Affluent cautious
178,Male,27,88,69,3,0.3967703496185169,-1.1664476800677082,0.992942377666172,Premium champions
179,Male,59,93,14,2,0.2914871262388275,1.954485294233042,1.3334433731869464,Affluent cautious
180,Male,35,93,90,3,0.6399309770123163,-1.3457862073312337,1.170075421048084,Premium champions
181,Female,37,97,32,2,0.3629670888807296,0.3383854304446658,1.411957093926073,Affluent cautious
182,Female,32,97,86,3,0.6277845981250052,-1.3955395053827884,1.321951291102021,Premium champions
183,Male,46,98,15,2,0.5440631091519187,1.2588728956239692,1.4944803398476532,Affluent cautious
184,Female,29,98,88,3,0.605155489780881,-1.6042882515874646,1.3506537603368942,Premium champions
185,Female,41,99,39,2,0.3153691524042841,0.34558786899571853,1.48659389428169,Affluent cautious
186,Male,30,99,97,3,0.5931864058521832,-1.8021684637505744,1.3777433660934943,Premium champions
187,Female,54,101,24,2,0.3616864772043971,1.4121896466287416,1.6129615295321325,Affluent cautious
188,Male,28,101,68,3,0.4346992660202793,-1.11216681285908,1.4921948082064938,Premium champions
189,Female,41,103,17,2,0.5432330877302317,0.9414025131072955,1.6713558738663092,Affluent cautious
190,Female,36,103,85,3,0.5939285667062869,-1.176343135960907,1.5608192925497228,Premium champions
191,Female,34,103,23,2,0.41620138531311596,0.4220448630600075,1.647415048704091,Affluent cautious
192,Female,32,103,69,3,0.4774979519173144,-0.9404697829191352,1.5756305136303392,Premium champions
193,Male,33,113,8,2,0.4443509043608051,0.7642561414141843,2.048497499102115,Affluent cautious
194,Female,38,113,91,3,0.5395005491878061,-1.2577787594713972,1.9375949695349413,Premium champions
195,Female,47,120,16,2,0.47295642902668883,1.241824802662322,2.333923289284403,Affluent cautious
196,Female,35,120,79,3,0.4845514422992645,-1.0937050789068663,2.215577208764018,Premium champions
197,Female,45,126,28,2,0.3724779619733637,0.8004478880820264,2.5407482077656183,Affluent cautious
198,Male,32,126,74,3,0.41638698773343624,-1.1197087072174525,2.4451692268298837,Premium champions
199,Male,32,137,18,2,0.31781843242805463,0.3954106205477147,2.946665491886415,Affluent cautious
200,Male,30,137,83,3,0.396512898651877,-1.4880035648295862,2.8470177574299385,Premium champions
